SYMBOL,company,product,region,country,industry,sector,gics_sector
5938.T,LIXIL Corporation,Equity,jp_topix_500,Japan,Building Products & Equipment,Metal Products,Industrials
5947.T,RINNAI CORPORATION,Equity,jp_topix_500,Japan,"Furnishings, Fixtures & Appliances",Metal Products,Consumer Cyclical
5991.T,"NHK SPRING CO.,LTD.",Equity,jp_topix_500,Japan,Auto Parts,Metal Products,Consumer Cyclical
6005.T,"MIURA CO.,LTD.",Equity,jp_topix_500,Japan,Specialty Industrial Machinery,Machinery,Industrials
6098.T,"Recruit Holdings Co.,Ltd.",Equity,jp_topix_500,Japan,Internet Content & Information,Services,Communication Services
6113.T,"AMADA CO.,LTD.",Equity,jp_topix_500,Japan,Specialty Industrial Machinery,Machinery,Industrials
6134.T,FUJI CORPORATION,Equity,jp_topix_500,Japan,Specialty Industrial Machinery,Machinery,Industrials
6136.T,OSG Corporation,Equity,jp_topix_500,Japan,Tools & Accessories,Machinery,Industrials
6141.T,"DMG MORI CO.,LTD.",Equity,jp_topix_500,Japan,Tools & Accessories,Machinery,Industrials
6146.T,DISCO CORPORATION,Equity,jp_topix_500,Japan,Semiconductor Equipment & Materials,Machinery,Technology
6178.T,"JAPAN POST HOLDINGS Co.,Ltd.",Equity,jp_topix_500,Japan,Banks - Regional,Services,Financial Services
6201.T,TOYOTA INDUSTRIES CORPORATION,Equity,jp_topix_500,Japan,Farm & Heavy Construction Machinery,Transportation Equipment,Industrials
6268.T,Nabtesco Corporation,Equity,jp_topix_500,Japan,Specialty Industrial Machinery,Machinery,Industrials
6269.T,"MODEC,INC.",Equity,jp_topix_500,Japan,Oil & Gas Equipment & Services,Machinery,Energy
6273.T,SMC CORPORATION,Equity,jp_topix_500,Japan,Specialty Industrial Machinery,Machinery,Industrials
6301.T,KOMATSU LTD.,Equity,jp_topix_500,Japan,Farm & Heavy Construction Machinery,Machinery,Industrials
6302.T,"SUMITOMO HEAVY INDUSTRIES,LTD.",Equity,jp_topix_500,Japan,Specialty Industrial Machinery,Machinery,Industrials
6305.T,"Hitachi Construction Machinery Co.,Ltd.",Equity,jp_topix_500,Japan,Farm & Heavy Construction Machinery,Machinery,Industrials
6323.T,RORZE CORPORATION,Equity,jp_topix_500,Japan,Semiconductor Equipment & Materials,Machinery,Technology
6326.T,KUBOTA CORPORATION,Equity,jp_topix_500,Japan,Farm & Heavy Construction Machinery,Machinery,Industrials
6361.T,EBARA CORPORATION,Equity,jp_topix_500,Japan,Specialty Industrial Machinery,Machinery,Industrials
6367.T,"DAIKIN INDUSTRIES,LTD.",Equity,jp_topix_500,Japan,Building Products & Equipment,Machinery,Industrials
6368.T,ORGANO CORPORATION,Equity,jp_topix_500,Japan,Pollution & Treatment Controls,Machinery,Industrials
6370.T,Kurita Water Industries Ltd.,Equity,jp_topix_500,Japan,Pollution & Treatment Controls,Machinery,Industrials
6383.T,"DAIFUKU CO.,LTD.",Equity,jp_topix_500,Japan,Specialty Industrial Machinery,Machinery,Industrials
6406.T,"FUJITEC CO.,LTD.",Equity,jp_topix_500,Japan,Specialty Industrial Machinery,Machinery,Industrials
6417.T,"SANKYO CO.,LTD.",Equity,jp_topix_500,Japan,Gambling,Machinery,Consumer Cyclical
6436.T,Amano Corporation,Equity,jp_topix_500,Japan,Scientific & Technical Instruments,Machinery,Technology
6448.T,"BROTHER INDUSTRIES,LTD.",Equity,jp_topix_500,Japan,Business Equipment & Supplies,Electric Appliances,Industrials
6457.T,GLORY LTD.,Equity,jp_topix_500,Japan,Specialty Industrial Machinery,Machinery,Industrials
6460.T,SEGA SAMMY HOLDINGS INC.,Equity,jp_topix_500,Japan,Electronic Gaming & Multimedia,Machinery,Communication Services
6465.T,HOSHIZAKI CORPORATION,Equity,jp_topix_500,Japan,Specialty Industrial Machinery,Machinery,Industrials
6471.T,NSK Ltd.,Equity,jp_topix_500,Japan,Auto Parts,Machinery,Consumer Cyclical
6472.T,NTN CORPORATION,Equity,jp_topix_500,Japan,Tools & Accessories,Machinery,Industrials
6473.T,JTEKT Corporation,Equity,jp_topix_500,Japan,Auto Parts,Machinery,Consumer Cyclical
6479.T,MINEBEA MITSUMI Inc.,Equity,jp_topix_500,Japan,Electronic Components,Electric Appliances,Technology
6481.T,"THK CO.,LTD.",Equity,jp_topix_500,Japan,Specialty Industrial Machinery,Machinery,Industrials
6501.T,"Hitachi,Ltd.",Equity,jp_topix_500,Japan,Conglomerates,Electric Appliances,Industrials
6503.T,Mitsubishi Electric Corporation,Equity,jp_topix_500,Japan,Electrical Equipment & Parts,Electric Appliances,Industrials
6504.T,"FUJI ELECTRIC CO.,LTD.",Equity,jp_topix_500,Japan,Electrical Equipment & Parts,Electric Appliances,Industrials
6506.T,YASKAWA Electric Corporation,Equity,jp_topix_500,Japan,Electrical Equipment & Parts,Electric Appliances,Industrials
6525.T,KOKUSAI ELECTRIC CORPORATION,Equity,jp_topix_500,Japan,Semiconductor Equipment & Materials,Electric Appliances,Technology
6526.T,Socionext Inc.,Equity,jp_topix_500,Japan,Electrical Equipment & Parts,Electric Appliances,Industrials
6532.T,"BayCurrent,Inc.",Equity,jp_topix_500,Japan,Consulting Services,Services,Industrials
6544.T,"JAPAN ELEVATOR SERVICE HOLDINGS CO.,LTD.",Equity,jp_topix_500,Japan,Specialty Business Services,Services,Industrials
6586.T,Makita Corporation,Equity,jp_topix_500,Japan,Tools & Accessories,Machinery,Industrials
6592.T,"MABUCHI MOTOR CO.,LTD.",Equity,jp_topix_500,Japan,Auto Parts,Electric Appliances,Consumer Cyclical
6632.T,JVCKENWOOD Corporation,Equity,jp_topix_500,Japan,Auto Parts,Electric Appliances,Consumer Cyclical
6645.T,OMRON Corporation,Equity,jp_topix_500,Japan,Electronic Components,Electric Appliances,Technology
6674.T,GS Yuasa Corporation,Equity,jp_topix_500,Japan,Auto Parts,Electric Appliances,Consumer Cyclical
6701.T,NEC Corporation,Equity,jp_topix_500,Japan,Information Technology Services,Electric Appliances,Technology
6702.T,Fujitsu Limited,Equity,jp_topix_500,Japan,Information Technology Services,Electric Appliances,Technology
6707.T,"Sanken Electric Co.,Ltd.",Equity,jp_topix_500,Japan,Semiconductors,Electric Appliances,Technology
6723.T,Renesas Electronics Corporation,Equity,jp_topix_500,Japan,Semiconductors,Electric Appliances,Technology
6724.T,SEIKO EPSON CORPORATION,Equity,jp_topix_500,Japan,Computer Hardware,Electric Appliances,Technology
6728.T,"ULVAC, Inc.",Equity,jp_topix_500,Japan,Specialty Industrial Machinery,Electric Appliances,Industrials
6752.T,Panasonic Holdings Corporation,Equity,jp_topix_500,Japan,Consumer Electronics,Electric Appliances,Technology
6753.T,Sharp Corporation,Equity,jp_topix_500,Japan,Consumer Electronics,Electric Appliances,Technology
6754.T,ANRITSU CORPORATION,Equity,jp_topix_500,Japan,Scientific & Technical Instruments,Electric Appliances,Technology
6758.T,SONY GROUP CORPORATION,Equity,jp_topix_500,Japan,Consumer Electronics,Electric Appliances,Technology
6762.T,TDK Corporation,Equity,jp_topix_500,Japan,Electronic Components,Electric Appliances,Technology
6770.T,"ALPS ALPINE CO.,LTD.",Equity,jp_topix_500,Japan,Electronic Components,Electric Appliances,Technology
6806.T,"HIROSE ELECTRIC CO.,LTD.",Equity,jp_topix_500,Japan,Electronic Components,Electric Appliances,Technology
6841.T,YOKOGAWA ELECTRIC CORPORATION,Equity,jp_topix_500,Japan,Specialty Industrial Machinery,Electric Appliances,Industrials
6845.T,Azbil Corporation,Equity,jp_topix_500,Japan,Specialty Industrial Machinery,Electric Appliances,Industrials
6849.T,NIHON KOHDEN CORPORATION,Equity,jp_topix_500,Japan,Medical Devices,Electric Appliances,Healthcare
6856.T,"HORIBA,Ltd.",Equity,jp_topix_500,Japan,Scientific & Technical Instruments,Electric Appliances,Technology
6857.T,ADVANTEST CORPORATION,Equity,jp_topix_500,Japan,Semiconductor Equipment & Materials,Electric Appliances,Technology
6861.T,KEYENCE CORPORATION,Equity,jp_topix_500,Japan,Scientific & Technical Instruments,Electric Appliances,Technology
6869.T,SYSMEX CORPORATION,Equity,jp_topix_500,Japan,Medical Devices,Electric Appliances,Healthcare
6902.T,DENSO CORPORATION,Equity,jp_topix_500,Japan,Auto Parts,Transportation Equipment,Consumer Cyclical
6920.T,Lasertec Corporation,Equity,jp_topix_500,Japan,Semiconductor Equipment & Materials,Electric Appliances,Technology
6923.T,"Stanley Electric Co.,Ltd.",Equity,jp_topix_500,Japan,Auto Parts,Electric Appliances,Consumer Cyclical
6925.T,USHIO INC.,Equity,jp_topix_500,Japan,Specialty Industrial Machinery,Electric Appliances,Industrials
6951.T,JEOL Ltd.,Equity,jp_topix_500,Japan,Scientific & Technical Instruments,Electric Appliances,Technology
6952.T,"CASIO COMPUTER CO.,LTD.",Equity,jp_topix_500,Japan,Consumer Electronics,Electric Appliances,Technology
6954.T,FANUC CORPORATION,Equity,jp_topix_500,Japan,Specialty Industrial Machinery,Electric Appliances,Industrials
6963.T,ROHM COMPANY LIMITED,Equity,jp_topix_500,Japan,Semiconductors,Electric Appliances,Technology
6965.T,HAMAMATSU PHOTONICS K.K.,Equity,jp_topix_500,Japan,Electronic Components,Electric Appliances,Technology
6971.T,KYOCERA CORPORATION,Equity,jp_topix_500,Japan,Conglomerates,Electric Appliances,Industrials
6976.T,"TAIYO YUDEN CO.,LTD.",Equity,jp_topix_500,Japan,Electronic Components,Electric Appliances,Technology
6981.T,"Murata Manufacturing Co.,Ltd.",Equity,jp_topix_500,Japan,Electronic Components,Electric Appliances,Technology
6988.T,NITTO DENKO CORPORATION,Equity,jp_topix_500,Japan,Specialty Chemicals,Chemicals,Basic Materials
7003.T,"MITSUI E&S Co.,Ltd.",Equity,jp_topix_500,Japan,Aerospace & Defense,Machinery,Industrials
7011.T,"Mitsubishi Heavy Industries,Ltd.",Equity,jp_topix_500,Japan,Specialty Industrial Machinery,Machinery,Industrials
7012.T,"Kawasaki Heavy Industries,Ltd.",Equity,jp_topix_500,Japan,Specialty Industrial Machinery,Transportation Equipment,Industrials
7013.T,IHI Corporation,Equity,jp_topix_500,Japan,Specialty Industrial Machinery,Machinery,Industrials
7164.T,"ZENKOKU HOSHO Co.,Ltd.",Equity,jp_topix_500,Japan,Credit Services,Other Financing Business,Financial Services
7167.T,"Mebuki Financial Group,Inc.",Equity,jp_topix_500,Japan,Banks - Regional,Banks,Financial Services
7180.T,"Kyushu Financial Group,Inc.",Equity,jp_topix_500,Japan,Banks - Regional,Banks,Financial Services
7181.T,"JAPAN POST INSURANCE Co.,Ltd.",Equity,jp_topix_500,Japan,Insurance - Life,Insurance,Financial Services
7182.T,"JAPAN POST BANK Co.,Ltd.",Equity,jp_topix_500,Japan,Banks - Regional,Banks,Financial Services
7186.T,"Yokohama Financial Group,Inc.",Equity,jp_topix_500,Japan,Banks - Regional,Banks,Financial Services
7189.T,"Nishi-Nippon Financial Holdings,Inc.",Equity,jp_topix_500,Japan,Banks - Regional,Banks,Financial Services
7201.T,"NISSAN MOTOR CO.,LTD.",Equity,jp_topix_500,Japan,Auto Manufacturers,Transportation Equipment,Consumer Cyclical
7202.T,ISUZU MOTORS LIMITED,Equity,jp_topix_500,Japan,Auto Manufacturers,Transportation Equipment,Consumer Cyclical
7203.T,TOYOTA MOTOR CORPORATION,Equity,jp_topix_500,Japan,Auto Manufacturers,Transportation Equipment,Consumer Cyclical
7211.T,MITSUBISHI MOTORS CORPORATION,Equity,jp_topix_500,Japan,Auto Manufacturers,Transportation Equipment,Consumer Cyclical
7240.T,NOK CORPORATION,Equity,jp_topix_500,Japan,Auto Parts,Transportation Equipment,Consumer Cyclical
7259.T,AISIN CORPORATION,Equity,jp_topix_500,Japan,Auto Parts,Transportation Equipment,Consumer Cyclical
7261.T,Mazda Motor Corporation,Equity,jp_topix_500,Japan,Auto Manufacturers,Transportation Equipment,Consumer Cyclical
7267.T,"HONDA MOTOR CO.,LTD.",Equity,jp_topix_500,Japan,Auto Manufacturers,Transportation Equipment,Consumer Cyclical
7269.T,SUZUKI MOTOR CORPORATION,Equity,jp_topix_500,Japan,Auto Manufacturers,Transportation Equipment,Consumer Cyclical
7270.T,SUBARU CORPORATION,Equity,jp_topix_500,Japan,Auto Manufacturers,Transportation Equipment,Consumer Cyclical
7272.T,"Yamaha Motor Co.,Ltd.",Equity,jp_topix_500,Japan,Auto Manufacturers,Transportation Equipment,Consumer Cyclical
7276.T,"KOITO MANUFACTURING CO.,LTD.",Equity,jp_topix_500,Japan,Auto Parts,Electric Appliances,Consumer Cyclical
7282.T,"TOYODA GOSEI CO.,LTD.",Equity,jp_topix_500,Japan,Auto Parts,Transportation Equipment,Consumer Cyclical
7309.T,SHIMANO INC.,Equity,jp_topix_500,Japan,Leisure,Transportation Equipment,Consumer Cyclical
7313.T,"TS TECH CO.,LTD.",Equity,jp_topix_500,Japan,Auto Parts,Transportation Equipment,Consumer Cyclical
7337.T,"Hirogin Holdings,Inc.",Equity,jp_topix_500,Japan,Banks - Regional,Banks,Financial Services
7453.T,"RYOHIN KEIKAKU CO.,LTD.",Equity,jp_topix_500,Japan,Department Stores,Retail Trade,Consumer Cyclical
7458.T,"DAIICHIKOSHO CO.,LTD.",Equity,jp_topix_500,Japan,Leisure,Wholesale Trade,Consumer Cyclical
7459.T,MEDIPAL HOLDINGS CORPORATION,Equity,jp_topix_500,Japan,Medical Distribution,Wholesale Trade,Healthcare
7476.T,AS ONE CORPORATION,Equity,jp_topix_500,Japan,Medical Distribution,Wholesale Trade,Healthcare
7532.T,Pan Pacific International Holdings Corporation,Equity,jp_topix_500,Japan,Discount Stores,Retail Trade,Consumer Defensive
